2018,,,,,,,,,,,,,,,,,,,,
,,TEAM,POS,GMS,RECEIVING,,,,,,,,RUSHING,,,,FUMBLES,,PPG,FPTS
RK,NAME,,,,TGTS,REC,PCT,YDS,TD,LNG,Y/T,Y/R,ATT,YDS,AVG,TD,FUM,LST,,
52,Mike Gesicki,MIA,TE,16,32,22,68.8,202,0,27,6.3,9.2,0,0,0,0,1,1,2.5,40.2
53,Jordan Akins,HOU,TE,16,25,17,68,225,0,28,9,13.2,0,0,0,0,0,0,2.5,39.5
54,Tyler Eifert,CIN,TE,4,19,15,78.9,179,1,29,9.4,11.9,0,0,0,0,0,0,9.7,38.9
55,Charles Clay,BUF,TE,13,36,21,58.3,184,0,21,5.1,8.8,0,0,0,0,1,1,2.9,37.4
56,Maxx Williams,BAL,TE,13,17,16,94.1,143,1,25,8.4,8.9,3,8,2.7,0,0,0,2.9,37.1
57,Michael Roberts,DET,TE,8,20,9,45,100,3,29,5,11.1,0,0,0,0,0,0,4.6,37
58,Will Dissly,SEA,TE,4,14,8,57.1,156,2,66,11.1,19.5,0,0,0,0,0,0,8.9,35.6
59,Lee Smith,LV,TE,16,11,10,90.9,73,3,30,6.6,7.3,0,0,0,0,0,0,2.2,35.3
59,Hayden Hurst,BAL,TE,12,23,13,56.5,163,1,32,7.1,12.5,1,0,0,0,0,0,2.9,35.3
61,Erik Swoope,NO,TE,7,10,8,80,87,3,26,8.7,10.9,0,0,0,0,0,0,5,34.7
62,Taysom Hill,NO,TE,16,7,3,42.9,4,0,5,0.6,1.3,37,196,5.3,2,1,1,2.1,33.56
63,Dan Arnold,NO,TE,10,19,12,63.2,150,1,25,7.9,12.5,0,0,0,0,1,0,3.3,33
64,Mo Alie-Cox,IND,TE,9,13,7,53.8,133,2,34,10.2,19,0,0,0,0,0,0,3.6,32.3
65,Jordan Leggett,NYJ,TE,15,25,14,56,114,1,16,4.6,8.1,0,0,0,0,0,0,2.1,31.4
