2018,,,,,,,,,,,,,,,,
,,TEAM,POS,GMS,RUSHING,,,,RECEIVING,,,,FUMBLES,,PPG,FPTS
RK,NAME,,,,ATT,YDS,AVG,TD,TGTS,REC,YDS,TD,FUM,LST,,
118,Jaylen Samuels,PIT,RB,14,9,28,3.1,0,14,9,46,0,0,0,1.2,16.4
119,T.J. Yeldon,BUF,RB,3,10,70,7,0,4,1,22,1,1,0,5.4,16.2
120,Darrynton Evans,TEN,RB,5,14,54,3.9,0,4,2,27,1,0,0,3.2,16.1
121,Saquon Barkley,NYG,RB,2,19,34,1.8,0,9,6,60,0,0,0,7.7,15.4
122,Mike Boone,MIN,RB,16,11,59,5.4,1,2,2,10,0,0,0,0.9,14.9
123,Devine Ozigbo,JAX,RB,8,1,1,1,0,9,9,42,0,0,0,1.7,13.3
124,Justice Hill,BAL,RB,12,12,60,5,0,5,5,20,0,0,0,1.1,13
125,Tevin Coleman,SF,RB,8,28,53,1.9,0,5,4,34,0,0,0,1.6,12.7
125,C.J. Prosise,HOU,RB,10,10,19,1.9,0,5,5,18,1,1,1,1.3,12.7
127,J.J. Taylor,NE,RB,6,23,110,4.8,0,2,1,4,0,0,0,2.1,12.4
128,Theo Riddick,LV,RB,4,6,14,2.3,0,6,5,43,0,0,0,2.7,10.7
129,Reggie Gilliam,BUF,FB,14,0,0,0,0,2,2,16,1,0,0,0.7,9.6
130,Artavis Pierce,CHI,RB,5,6,34,5.7,1,0,0,0,0,0,0,1.9,9.4
131,Marlon Mack IR,IND,RB,1,4,26,6.5,0,3,3,30,0,0,0,8.6,8.6
131,Michael Burton,NO,FB,15,7,18,2.6,0,4,4,28,0,0,0,0.6,8.6
133,Anthony Sherman,KC,FB,13,3,8,2.7,0,2,1,5,1,0,0,0.6,8.3
134,Jonathan Ward,ARI,RB,14,0,0,0,0,1,1,11,1,0,0,0.6,8.1
135,Trenton Cannon,CAR,RB,14,10,33,3.3,0,3,3,16,0,0,0,0.6,7.9
135,Khari Blasingame,TEN,FB,15,0,0,0,0,5,4,39,0,0,0,0.5,7.9
137,Jason Cabinda,DET,FB,16,1,0,0,0,3,2,8,0,0,0,0.5,7.8
138,Buddy Howell,HOU,RB,14,16,64,4,0,2,1,3,0,0,0,0.6,7.7
138,Alex Armah,CAR,RB,16,6,9,1.5,0,9,5,18,0,0,0,0.5,7.7
140,Dontrell Hilliard,HOU,RB,7,9,48,5.3,0,1,1,2,0,0,0,0.9,6
141,Elijhaa Penny,NYG,RB,14,6,15,2.5,0,3,2,20,0,0,0,0.4,5.5
142,Jonathan Williams,DET,RB,5,1,5,5,0,4,4,21,0,1,1,0.9,4.6
143,Austin Walter IR,SF,RB,4,1,3,3,0,1,1,27,0,0,0,1,4
144,Andy Janovich,CLE,FB,14,2,4,2,0,5,2,13,0,0,0,0.3,3.7
145,Rashaad Penny,SEA,RB,3,11,34,3.1,0,0,0,0,0,0,0,1.1,3.4
146,Bo Scarbrough,SEA,RB,1,6,31,5.2,0,0,0,0,0,0,0,3.1,3.1
147,Jason Huntley,PHI,RB,5,5,19,3.8,0,2,1,0,0,0,0,0.6,2.9
